AreaName,Price,lat,lng,Count
Dwight,810000.0,45.306231333333336,-79.00149033333334,3
Bracondale Hill,810000.0,43.675793,-79.430817,1
Meadowvale Village,806793.2291666666,43.630854729166664,-79.72718477083333,48
Bathurst Manor,805364.6521739131,43.75672269565217,-79.45106308695652,23
Richmond Hill,802723.6315789474,43.88241172982456,-79.43191183508772,285
Leslieville,800680.8222222222,43.66733397777778,-79.33013682222223,45
Troy,799900.0,42.378471,-81.90097,1
Hamilton Beach A,795000.0,43.2939,-79.792534,1
Ben Jungle,795000.0,43.761955,-79.23864,1
Albion Falls,795000.0,43.203316,-79.820572,1
Glen Abbey,792773.8536585366,43.435923243902444,-79.73162680487805,41
Maple,792172.4285714285,43.85210871428571,-79.520416,28
Erin,788550.0,43.74618607142857,-80.17502221428572,14
West Oak Trails,786650.8529411765,43.443890044117644,-79.7540700735294,68
Stockyards District,775966.6666666666,43.67680266666667,-79.46746066666667,3
Greensborough,774436.0,43.910184375,-79.25559225,8
Pelmo Park,774131.3333333334,43.71011216666667,-79.523777,6
Playter Estates,774000.0,43.6784725,-79.3598365,2
Lower Doon,771200.0,43.391000166666664,-80.41161483333333,6
Fairbank,769900.75,43.6939888125,-79.4534725625,16
Riverdale,764711.5,43.67021092307693,-79.34776661538461,26
C.D. Farquharson,764450.0,43.7859745,-79.2585795,2
High Park North,759660.0,43.6569473,-79.4627778,10
Midhurst,758799.1666666666,44.458032333333335,-79.73486208333333,12
North Toronto,757750.0,43.716018,-79.39161025,8
Runnymede,757633.3333333334,43.662585,-79.48548666666666,3
Bolton,753787.4583333334,43.880916250000006,-79.73842683333334,24
Niagara-on-the-Lake,750000.0,43.145481,-79.151367,1
Pontypool,749450.0,44.1222935,-78.62062850000001,2
Ancaster,748433.4285714285,43.21747360714286,-79.96935498214285,56
L'Amoreaux,740768.5217391305,43.80281834782609,-79.31297439130435,23
Allison,739883.5,43.200487,-79.8879775,2
Island Park,737488.8888888889,45.39834844444445,-75.73933644444445,9
The Beach,736818.5185185185,43.671522555555555,-79.30121496296296,27
Golden Triangle,734950.0,45.41622025,-75.6836225,4
Colchester,734500.0,41.986065,-82.926414,2
Wasaga Beach,734450.0,44.4746395,-80.10703649999999,2
Baltimore,734000.0,44.0819875,-78.163235,2
Flamborough,731575.4130434783,43.35587434782609,-80.02672858695652,46
Laurelwood,730962.5,43.47101875,-80.58621124999999,8
Richview,727238.4,43.68428553333333,-79.55907653333334,15
Halton Hills,723822.04,43.645488240000006,-79.91279106,50
Woodhull,723720.0,42.9617818,-81.3745668,5
Oakville,723072.1826086957,43.46558264782609,-79.69690007826087,230
Carleton Village,722966.6666666666,43.670914833333335,-79.456745,6
Bridgeport North,719216.3636363636,43.495104454545455,-80.47733581818183,11
Port Perry,715755.5555555555,44.11305522222222,-78.93373122222222,9
Guildwood,709666.6666666666,43.743708,-79.20078566666666,3
Junction Triangle,709000.0,43.660816499999996,-79.44805149999999,2
New Edinburgh,707175.0,45.441665625,-75.67907162499999,8
Georgina,705812.5333333333,44.31667206666667,-79.26589513333333,15
Aurora,704712.2222222222,43.997573777777774,-79.46929933333334,9
Confederation Park A,699900.0,43.252415,-79.762527,1
Gershome,699900.0,43.213772,-79.774261,1
The Beach Triangle,699900.0,43.672482,-79.309364,1
Gilbert,699900.0,43.229839,-79.90715,1
Macedonian Village,699649.0,43.931461,-78.995514,1
Kemble,699450.0,44.6553745,-80.9280435,2
Waterford,699000.0,42.947105,-80.225655,1
Beechborough - Greenbrook,699000.0,43.696888,-79.476875,1
Glen Park,696996.9333333333,43.70750793333333,-79.4631568,15
Newmarket,696267.4166666666,44.05356997222222,-79.45470227777778,72
Dunrobin,693594.7368421053,45.46392568421052,-76.0217297368421,19
East Credit,692816.6610169491,43.59084572881356,-79.68973708474576,59
Wexford,691154.5454545454,43.751096454545454,-79.29866018181818,11
Lansing,690435.75,43.760375821428575,-79.41381910714286,28
Bridgeport East,688575.0,43.4806985,-80.46721425,4
The Queensway,687999.8636363636,43.62574277272727,-79.50624940909091,22
Locust Hill,687449.5,43.919456499999995,-79.13829799999999,2
Westdale North,682950.0,43.263874,-79.89733675,4
Sandford,682933.3333333334,44.124526,-79.187101,3
Old Ottawa East,682905.8823529412,45.40988458823529,-75.67683823529411,17
The Danforth,682333.3333333334,43.68446733333334,-79.30780033333333,3
Unionville,682100.0,43.86145717647059,-79.30644947058823,17
Crestline,679900.0,40.792725,-82.750893,1
Bradford West Gwillimbury,679831.44,44.12080384,-79.58010416,25
Upper Beaches,679268.4615384615,43.681965999999996,-79.29708630769231,13
Beach Hill,679250.0,43.67754375,-79.31467425,4
Bridlewood - Emerald Meadows,679000.0,45.276058,-75.844917,1
Windfields,677475.0,43.955952125,-78.899974625,8
Newtonbrook,675934.9090909091,43.784732909090906,-79.42149383838384,99
Ryckmans,673233.3333333334,43.206022499999996,-79.88450633333333,6
Englemount - Lawrence,668444.3333333334,43.723739555555554,-79.43343766666666,9
Milton,666735.625,43.5202028125,-79.885367,48
Elora,663233.3333333334,43.68973166666667,-80.43115966666667,3
McGregor Park,662499.5,43.7429255,-79.279739,2
Gores Landing,659657.1428571428,44.12198814285715,-78.21436114285714,7
Cumberland - Estates,659553.3333333334,45.511323866666665,-75.39919816666666,30
Pickering,659464.490909091,43.84976416363636,-79.09414834545454,55
Woodbridge,659249.0099009901,43.805637861386145,-79.58198951485149,101
Humberlea,659133.25,43.726491,-79.53580674999999,12
Clairlea - Birchmount,659076.4705882353,43.70673364705882,-79.27858152941177,17
The Glebe,658588.8888888889,45.40234161111111,-75.6896715,18
Tottenham,657814.2857142857,44.01869857142857,-79.80487057142857,7
Midtown Toronto,657021.1487603306,43.689596260330575,-79.40050885123966,242
Erin Mills,656890.1428571428,43.54844875776398,-79.71590334782609,161
Sandy Hill,651268.1818181818,45.42563004545455,-75.67506290909091,22
West Humber Estates,649999.0,43.727283,-79.58503,1
Morningside Heights,649900.0,43.822536,-79.217674,1
Odessa,649900.0,44.277039,-76.718292,1
Thorah Island,649900.0,44.449417,-79.21579,1
Greenwood - Coxwell,649000.0,43.670719,-79.326134,1
Belgravia,648475.0,43.69771575,-79.4444255,4
Talbot,645455.875,42.933539125,-81.3087146875,16
Port Union,644838.4615384615,43.784544076923076,-79.1484193846154,13
Taunton,643313.3333333334,43.948633666666666,-78.84898726666667,15
Campbellcroft,642462.5,44.063944375,-78.433932375,8
Simcoe,641291.6666666666,42.81798533333333,-80.303824,12
Durand,640951.8461538461,43.253368692307696,-79.87757461538462,13
Markham,640158.3271028037,43.8583818317757,-79.31380003738317,107
Old Ottawa South,639605.8235294118,45.39329723529412,-75.6835604117647,17
Lakeview,638479.1206896552,43.71807912068965,-79.23293220689655,58
Lundy Village,634999.6666666666,43.681193,-79.80885566666666,3
Dundas,631555.1034482758,43.27228646551724,-79.9699232586207,58
Old University,630978.5714285715,43.53136228571429,-80.24182257142857,7
Danforth Village,630148.3333333334,43.689972000000004,-79.29561633333333,6
Centennial Park,629500.0,43.651833,-79.579597,1
Brampton,628181.1528239202,43.721575827242525,-79.75642007641197,301
Aldershot,627209.5238095238,43.30847295238095,-79.84710035714286,42
Paris,625925.0,43.1981685,-80.38562,8
Creemore,624950.0,44.3087945,-80.153965,2
South Cedarbrae,624000.0,43.748213,-79.23004499999999,2
Wexford - Maryvale,623540.6206896552,43.75078510344828,-79.30109510344828,29
New Toronto,622169.4,43.600489450000005,-79.510812,20
Uxbridge,621731.5263157894,44.11818171052632,-79.1315610263158,38
Humber Bay,621012.0,43.62579568,-79.48540976,25
Westboro,620400.0,45.39019428571429,-75.75019764285715,28
Briar Hill - Belgravia,620316.6666666666,43.7022215,-79.45241683333334,6
Torrance,620225.0,44.921465749999996,-79.33515175,4
Longwoods,619384.0,42.92750014285714,-81.25780928571429,7
Ajax,617706.5913978495,43.864256236559136,-79.02958383870967,93
Castle Green,616810.0,43.4631139,-79.69454809999999,10
Don Valley Village,614318.3142857143,43.78616297142857,-79.35487780000001,35
Leaside,611138.3571428572,43.712313928571426,-79.36611671428571,14
Doon South,609273.4444444445,43.37879714814815,-80.43322944444445,27
Manotick,605593.8235294118,45.20197629411764,-75.65651973529413,34
Wilson Heights,605549.0,43.73970427272727,-79.44504622727273,22
Davenport,605179.9,43.671335299999996,-79.44274829999999,10
Rockwood Village,604955.4285714285,43.63142557142857,-79.60117771428573,7
Hillcrest Village,604909.6923076923,43.80292076923077,-79.35606853846154,13
Ameliasburgh,603954.5454545454,44.06477345454545,-77.43184090909091,11
